pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
BTCDAI-BTCUSDT,08/02-10/31,-9.13827896118164,0.0,32,-0.28557121753692627,15,49,2881,2.1526341438293457,-3.7544608116149902,
APTUSDT-MDAOUSDT,08/02-10/31,12.301973342895508,0.0,36,0.34172147512435913,22,50,2881,3.481919050216675,-2.3546082973480225,
SNXUSDT-SOLOUSDT,08/02-10/31,2.658599376678467,0.0,20,0.1329299658536911,10,30,2881,1.2178385257720947,-0.7530583143234253,
DYDXUSDT-QNTUSDT,08/02-10/31,13.256072998046875,0.0,35,0.3787449300289154,18,52,2881,13.050260543823242,-3.600320816040039,
CITYUSDT-JUVUSDT,08/02-10/31,1.6263186931610107,0.0,26,0.06255071610212326,7,45,2881,2.9586341381073,-2.689497232437134,
ARKMUSDT-PSGUSDT,08/02-10/31,2.0856504440307617,0.0,40,0.05214126035571098,23,57,2881,1.324957013130188,-0.8307361006736755,
SUSHIUSDT-UMAUSDT,08/02-10/31,-4.90188455581665,0.0,23,-0.21312542259693146,11,35,2881,1.1545627117156982,-4.88386869430542,
HFTUSDT-SCRTUSDT,08/02-10/31,-2.766484498977661,0.0,30,-0.09221614897251129,16,44,2881,1.2873190641403198,-6.125359058380127,
APTUSDC-APTUSDT,08/02-10/31,-1.5621283054351807,0.0,14,-0.11158059537410736,6,22,2881,0.8532583713531494,-0.8164545893669128,
MANAUSDT-XRPUSDT,08/02-10/31,-0.34548163414001465,0.0,22,-0.015703709796071053,10,34,2881,8.56385612487793,-2.2024333477020264,
BATUSDT-LTCUSDC,08/02-10/31,1.9324119091033936,0.0,27,0.07157081365585327,18,36,2881,2.1060266494750977,-1.9348081350326538,
ALGOUSDT-ROSEUSDT,08/02-10/31,0.7978971600532532,0.0,29,0.027513695880770683,14,44,2881,0.6959572434425354,-0.6711464524269104,
DOGEUSDT-ETHWUSDT,08/02-10/31,1.6286544799804688,0.0,34,0.04790160059928894,21,47,2881,4.98438024520874,-5.99759578704834,
DAIUSDT-LUNCUSDC,08/02-10/31,0.28380200266838074,0.0,2,0.14190100133419037,1,3,2881,0.2981297969818115,-0.006921456195414066,
ONEUSDT-XRPUSDT,08/02-10/31,12.011571884155273,0.0,26,0.4619835317134857,15,37,2881,3.378654956817627,-1.8080275058746338,
BNBUSDT-ETHWUSDT,08/02-10/31,-0.8006289005279541,0.0,27,-0.029652921482920647,16,38,2881,2.507209539413452,-4.436862468719482,
APTUSDC-MDAOUSDT,08/02-10/31,12.986898422241211,0.0,38,0.3417604863643646,26,50,2881,3.4685232639312744,-2.4498355388641357,
INTERUSDT-XRPUSDC,08/02-10/31,6.1363935470581055,0.0,34,0.1804821640253067,17,51,2881,2.079984188079834,-3.5479917526245117,
INTERUSDT-MASKUSDT,08/02-10/31,-2.3020167350769043,0.0,33,-0.06975807994604111,14,52,2881,0.941681981086731,-3.4841182231903076,
JUVUSDT-VPADUSDT,08/02-10/31,62.688812255859375,0.0,15,4.179254055023193,9,21,2881,15.786680221557617,-0.0479438416659832,
ARKMUSDT-DOTUSDT,08/02-10/31,2.2703144550323486,0.0,28,0.08108265697956085,17,39,2881,0.8931347131729126,-0.40303370356559753,
SFUNDUSDT-VPADUSDT,08/02-10/31,36.53281784057617,0.0,7,5.2189741134643555,4,10,2881,33.25075149536133,-0.11326214671134949,
FLOWUSDT-GMXUSDT,08/02-10/31,-3.215970993041992,0.0,31,-0.10374099761247635,13,49,2881,2.3375887870788574,-4.072425842285156,
CTCUSDT-NEXOUSDT,08/02-10/31,21.062232971191406,0.0,32,0.6581947803497314,21,43,2881,4.736476898193359,-3.106175661087036,
MANAUSDC-XRPUSDC,08/02-10/31,-1.2097049951553345,0.0,21,-0.05760499835014343,7,35,2881,9.220377922058105,-2.7589383125305176,
BATUSDT-LTCUSDT,08/02-10/31,1.7700353860855103,0.0,27,0.06555686891078949,18,36,2881,2.109592914581299,-1.9299875497817993,
GMTUSDT-SANDUSDT,08/02-10/31,-3.7880349159240723,0.0,25,-0.15152139961719513,14,36,2881,0.9533033967018127,-3.3824214935302734,
ARBUSDC-ARBUSDT,08/02-10/31,-0.24355334043502808,0.0,14,-0.01739666797220707,5,23,2881,0.3128494322299957,-0.21963658928871155,
DAIUSDT-LUNCUSDT,08/02-10/31,0.38237372040748596,0.0,2,0.19118686020374298,2,2,2881,0.38745105266571045,-0.004822940099984407,
RVNUSDT-UNIUSDT,08/02-10/31,-5.330066204071045,0.0,32,-0.16656456887722015,15,49,2881,2.036708116531372,-3.0772156715393066,
