pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
BTCDAI-BTCEUR,02/01-05/31,8.379521,1.2380133867263794,77,0.10882495,58,95,2881,0.74200666,-0.6105379
KCSUSDT-KDAUSDT,02/01-05/31,2.080432,0.38406622409820557,37,0.05622789,17,57,2881,1.4094367,-0.88163877
ATOMUSDT-KDAUSDT,02/01-05/31,2.7707763,0.6252927184104919,53,0.052278798,27,78,2881,2.8615994,-1.3533703
FTTUSDT-GSWIFTUSDT,02/01-05/31,-6.9157085,0.98216712474823,37,-0.18691105,15,59,2881,0.9259173,-3.7117062
COMPUSDT-GTAIUSDT,02/01-05/31,-4.678488,0.645292341709137,49,-0.09547934,24,74,2881,2.1175623,-1.8614566
FILUSDC-GTAIUSDT,02/01-05/31,12.50528,0.2090642750263214,29,0.43121654,18,40,2881,3.3188465,-1.1620528
DOTUSDC-KDAUSDT,02/01-05/31,-3.4761062,0.8223506212234497,51,-0.06815895,24,77,2881,1.0545477,-1.2951462
GALFTUSDT-GRTUSDT,02/01-05/31,-4.7682066,1.6534770727157593,42,-0.11352873,18,66,2881,5.598672,-4.1963634
ETHUSDC-ETHUSDT,02/01-05/31,-0.8196243,1.0500414371490479,60,-0.013660405,27,93,2881,0.012010051,-0.038122203
FILUSDT-GTAIUSDT,02/01-05/31,6.677259,0.25462716817855835,33,0.20234118,14,52,2881,3.0684094,-1.0494667
DOTUSDT-KDAUSDT,02/01-05/31,1.4587464,0.8666070699691772,52,0.028052816,25,79,2881,2.273261,-1.2779415
CITYUSDT-KASTAUSDT,02/01-05/31,2.5900297,0.30151069164276123,39,0.06641102,15,63,2881,2.4050756,-1.2291583
ETCUSDT-JUVUSDT,02/01-05/31,2.0071702,0.5093077421188354,55,0.036494005,32,78,2881,1.3585063,-1.5641876
DOTUSDC-FTTUSDT,02/01-05/31,0.37724638,0.8201549053192139,41,0.009201131,18,64,2881,1.2379252,-1.1493762
GALFTUSDT-HBARUSDT,02/01-05/31,-10.59526,1.1836755275726318,35,-0.3027217,14,55,2881,5.89938,-4.571889
APEXUSDT-AVAUSDT,02/01-05/31,-2.3040938,0.7385348677635193,41,-0.056197412,23,59,2881,1.5721227,-3.7450638
FILUSDC-JUVUSDT,02/01-05/31,3.988845,0.35898518562316895,50,0.079776905,25,75,2881,1.7473357,-0.76254606
DOTUSDT-FTTUSDT,02/01-05/31,-0.05002594,0.8183033466339111,41,-0.0012201449,17,65,2881,1.2381916,-1.1603763
APEXUSDT-KASTAUSDT,02/01-05/31,2.2469873,0.6730573773384094,42,0.0534997,23,61,2881,1.0510128,-0.78436905
APEXUSDC-AVAUSDT,02/01-05/31,0.979519,0.6756046414375305,36,0.027208861,17,55,2881,2.2343,-4.524377
FILUSDT-JUVUSDT,02/01-05/31,6.2323885,0.37967121601104736,56,0.11129265,29,82,2881,3.0960886,-0.84091073
AXSUSDT-KUBUSDT,02/01-05/31,1.0641685,0.36862850189208984,41,0.025955329,14,68,2881,2.1528893,-0.78923345
DYDXUSDT-KCALUSDT,02/01-05/31,-0.30018997,0.37348294258117676,41,-0.0073217065,18,64,2881,2.055502,-1.1964258
ARTYUSDT-KDAUSDT,02/01-05/31,-2.8526216,0.8028149604797363,40,-0.07131554,11,69,2881,1.0599849,-0.7570637
HNTUSDT-INTERUSDT,02/01-05/31,-5.965988,0.6274460554122925,48,-0.12429142,19,76,2881,0.57936287,-0.9743146
ATOMUSDT-GODSUSDT,02/01-05/31,2.60966,0.7072511315345764,47,0.05552468,27,67,2881,2.2326496,-1.3168296
CAKEUSDT-FIDAUSDT,02/01-05/31,3.6216326,0.41539761424064636,61,0.059371024,32,90,2881,2.4040468,-0.5983656
CYBERUSDT-FIDAUSDT,02/01-05/31,2.6342473,0.3486444354057312,47,0.056047816,22,71,2881,4.365068,-1.1180489
ATOMUSDT-KCALUSDT,02/01-05/31,3.715713,0.9369498491287231,55,0.067558415,28,82,2881,2.9956968,-1.4573259
GALFTUSDT-HVHUSDT,02/01-05/31,-16.789923,1.4585239887237549,36,-0.46638674,17,55,2881,6.730713,-10.386997
BTCDAI-BTCEUR,03/02-06/30,15.074272,2.4813764095306396,72,0.20936489,50,93,2881,2.3839202,-1.2610488
ATOMUSDT-GODSUSDT,03/02-06/30,-15.365657,5.212063789367676,53,-0.28991807,25,81,2881,3.6563995,-9.576065
CITYUSDT-KASTAUSDT,03/02-06/30,-12.614947,4.627445697784424,45,-0.28033215,20,70,2881,8.103329,-8.397036
FLOWUSDT-HVHUSDT,03/02-06/30,-10.983196,4.719918251037598,46,-0.23876514,26,65,2881,3.6647246,-10.63241
ETHUSDC-ETHUSDT,03/02-06/30,-2.9640465,3.19865083694458,57,-0.052000817,16,98,2881,0.10160914,-0.10617897
ATOMUSDT-KDAUSDT,03/02-06/30,10.34984,5.090488433837891,58,0.17844552,32,83,2881,5.403633,-2.937361
AFCUSDT-C98USDT,03/02-06/30,2.872337,1.9641335010528564,43,0.06679854,22,64,2881,4.6451855,-5.4219804
APEUSDC-HFTUSDT,03/02-06/30,12.877462,5.296001434326172,58,0.22202522,39,76,2881,3.1537585,-1.9949105
CYBERUSDT-FIDAUSDT,03/02-06/30,-4.288863,1.6077364683151245,39,-0.10997085,18,60,2881,2.052806,-2.3410387
GALFTUSDT-GRTUSDT,03/02-06/30,-4.5644455,1.1898711919784546,41,-0.11132794,14,67,2881,2.1558948,-1.8764616
AFCUSDT-CITYUSDT,03/02-06/30,9.200372,1.754170298576355,46,0.20000808,31,61,2881,3.0948062,-2.9419055
AGLDUSDT-HFTUSDC,03/02-06/30,-2.5551944,2.8078341484069824,47,-0.054365836,20,73,2881,3.5261967,-3.4480138
HNTUSDT-INTERUSDT,03/02-06/30,24.101372,3.4173240661621094,39,0.6179839,18,59,2881,18.672262,-3.7201152
APEXUSDT-KASTAUSDT,03/02-06/30,8.623312,3.374910354614258,47,0.18347472,25,68,2881,4.5281186,-3.5066044
AXLUSDT-FILUSDC,03/02-06/30,-5.1793327,2.4063429832458496,49,-0.10570067,26,72,2881,2.2582867,-5.262017
AGLDUSDT-HFTUSDT,03/02-06/30,-0.15159345,2.7676262855529785,44,-0.0034453056,18,70,2881,6.223688,-3.4919946
FILUSDT-JUVUSDT,03/02-06/30,1.9299002,2.8236613273620605,44,0.043861367,22,65,2881,5.815801,-5.784096
CAKEUSDT-FIDAUSDT,03/02-06/30,32.46858,1.1448028087615967,45,0.72152394,27,62,2881,10.005883,-1.1440198
